pillar,code,indicator,component,year,nuts_code_2021,unit,value
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES41,number,8126462
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES41,number,11835822
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES41,number,12926756
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES42,number,5394480
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES42,number,2429570
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES42,number,4007427
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES42,number,5625258
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES42,number,5874181
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES43,number,3581316
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES43,number,1607233
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES43,number,2610830
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES43,number,3597110
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES43,number,3784158
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES51,number,84140872
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES51,number,24187883
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES51,number,44708438
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES51,number,79857351
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES51,number,85635851
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES52,number,50063663
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES52,number,18289697
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES52,number,31496049
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES52,number,49350534
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES52,number,52449694
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES53,number,68376034
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES53,number,7689424
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES53,number,30856007
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES53,number,65373745
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES53,number,68791810
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES61,number,72044756
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES61,number,24061729
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES61,number,42305005
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES61,number,67645321
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES61,number,73900351
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES62,number,5410417
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES62,number,2256175
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES62,number,3697515
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES62,number,5192434
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES62,number,5493664
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES63,number,167989
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES63,number,70874
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES63,number,97348
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES63,number,137180
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES63,number,144427
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES64,number,146310
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES64,number,58895
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES64,number,93743
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES64,number,120379
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES64,number,132824
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES70,number,96113149
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES70,number,29139353
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES70,number,42002205
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES70,number,89267046
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES70,number,95574956
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES111,number,4056985
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES111,number,1785438
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES111,number,3607984
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES111,number,5464792
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES111,number,5863069
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES112,number,1442468
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES112,number,572352
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES112,number,1247554
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES112,number,1699063
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES112,number,1822931
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES113,number,700993
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES113,number,379553
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES113,number,607025
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES113,number,788169
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES113,number,891622
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES114,number,4738091
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES114,number,2056283
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES114,number,3493486
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES114,number,4693733
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES114,number,4937376
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES120,number,5778325
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES120,number,3536140
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES120,number,5005474
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES120,number,6109286
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES120,number,6672748
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES130,number,5583008
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES130,number,3085895
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES130,number,4131247
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES130,number,5585561
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES130,number,5811506
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES211,number,1035300
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES211,number,509979
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES211,number,856945
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES211,number,1160250
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES211,number,1378390
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES212,number,4093833
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES212,number,1463862
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES212,number,2689103
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES212,number,4095228
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES212,number,4286816
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES213,number,3013422
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES213,number,1338340
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES213,number,2314777
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES213,number,3634224
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES213,number,4060901
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES220,number,3277283
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES220,number,1548449
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES220,number,2772118
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES220,number,3726280
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES220,number,4032325
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES230,number,1639201
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES230,number,630668
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES230,number,1171925
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES230,number,1580147
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES230,number,1716159
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES241,number,3714379
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES241,number,2166599
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES241,number,3036697
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES241,number,4029059
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES241,number,3957295
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES242,number,1679877
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES242,number,663984
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES242,number,1072025
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES242,number,1356101
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES242,number,1391622
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES243,number,2908201
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES243,number,1260097
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES243,number,2088954
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES243,number,2996950
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES243,number,3218044
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES300,number,28975266
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES300,number,9083550
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES300,number,15483416
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES300,number,26703916
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES300,number,30238007
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES411,number,976842
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES411,number,551755
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES411,number,806879
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES411,number,1120099
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES411,number,1201472
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES412,number,1781037
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES412,number,653702
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES412,number,1197661
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES412,number,1935713
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES412,number,2165552
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES413,number,2135643
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES413,number,721191
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES413,number,1347209
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES413,number,1809369
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES413,number,2028989
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES414,number,601191
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES414,number,270766
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES414,number,405799
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES414,number,563512
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES414,number,642215
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES415,number,2025201
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES415,number,793587
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES415,number,1411063
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES415,number,2142542
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES415,number,2383810
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES416,number,1188972
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES416,number,494088
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES416,number,809695
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES416,number,1317335
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES416,number,1405219
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES417,number,712005
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES417,number,441844
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES417,number,688149
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES417,number,876843
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES417,number,928505
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES418,number,1377263
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES418,number,589695
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES418,number,989993
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES418,number,1473201
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES418,number,1573553
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES419,number,939780
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES419,number,288380
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES419,number,470013
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES419,number,597207
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES419,number,597440
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES421,number,921218
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES421,number,558851
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES421,number,880941
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES421,number,1185871
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES421,number,1238598
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES422,number,1137045
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES422,number,384818
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES422,number,647430
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES422,number,907861
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES422,number,958299
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES423,number,935528
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES423,number,452509
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES423,number,740801
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES423,number,954895
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES423,number,943766
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES424,number,770207
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES424,number,379748
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES424,number,550334
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES424,number,735747
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES424,number,801261
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES425,number,1630482
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES425,number,653645
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES425,number,1187921
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES425,number,1840885
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES425,number,1932257
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES431,number,1349665
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES431,number,634724
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES431,number,1012365
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES431,number,1487768
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES431,number,1584266
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES432,number,2231651
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES432,number,972510
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES432,number,1598465
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES432,number,2109344
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES432,number,2199892
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES511,number,34143479
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES511,number,9252975
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES511,number,16732721
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES511,number,35739138
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES511,number,39770370
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES512,number,25531192
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES512,number,7984281
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES512,number,14543343
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES512,number,22723698
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES512,number,23634098
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES513,number,4962088
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES513,number,1976684
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES513,number,2509061
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES513,number,3348092
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES513,number,3369984
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES514,number,19504113
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES514,number,4973942
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES514,number,10923314
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES514,number,18046422
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES514,number,18861398
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES521,number,30153670
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES521,number,10441675
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES521,number,17528099
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES521,number,29222589
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES521,number,31996890
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES522,number,9275980
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES522,number,3294477
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES522,number,5945569
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES522,number,7993551
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES522,number,7790870
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES523,number,10634013
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES523,number,4553544
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES523,number,8022382
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES523,number,12134394
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES523,number,12661934
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES531,number,14007081
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES531,number,1620183
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES531,number,5895272
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES531,number,11021677
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES531,number,11254978
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES532,number,47106999
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES532,number,4980455
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES532,number,21852299
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES532,number,48276509
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES532,number,51193029
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES533,number,7261954
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES533,number,1088787
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES533,number,3108437
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES533,number,6075559
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES533,number,6343804
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES611,number,7242653
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES611,number,2457719
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES611,number,4645090
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES611,number,6515627
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES611,number,6835184
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES612,number,11363944
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES612,number,4114528
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES612,number,7194424
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES612,number,9923722
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES612,number,10685787
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES613,number,2803511
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES613,number,870647
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES613,number,1341339
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES613,number,2127093
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES613,number,2390903
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES614,number,8651928
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES614,number,2668078
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES614,number,4034473
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES614,number,6796678
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES614,number,7416276
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES615,number,5327522
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES615,number,2209917
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES615,number,3736738
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES615,number,5438243
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES615,number,5738936
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES616,number,2280610
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES616,number,722936
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES616,number,1071159
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES616,number,1438012
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES616,number,1491087
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES617,number,26962231
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES617,number,8434109
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES617,number,15879095
