tourist_id,age,grupo_edad,interests,preferred_tour_duration,accessibility,site_name,sites_visited,tour_duration,route_id,tourist_rating,system_response_time,recommendation_accuracy,vr_experience_quality,satisfaction,grupo
13,45,45-59,"['Nature', 'Cultural', 'Architecture']",8,TRUE,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",6,13000,1.8,3.47,100,4.5,3,Accesibilidad
14,61,60+,['Cultural'],8,TRUE,Colosseum,['Eiffel Tower'],1,14000,4.3,3.48,91,4.4,4,Accesibilidad
15,60,60+,"['Cultural', 'Architecture', 'Art']",4,TRUE,Eiffel Tower,"['Taj Mahal', 'Eiffel Tower']",6,15000,2.9,2.82,94,4.2,3,Accesibilidad
16,50,45-59,['Cultural'],7,FALSE,Eiffel Tower,"['Great Wall of China', 'Machu Picchu', 'Colosseum']",8,16000,1.2,4.44,91,4.2,3,Sin Accesibilidad
17,59,45-59,['Cultural'],7,TRUE,Taj Mahal,"['Great Wall of China', 'Machu Picchu']",3,17000,2.1,2.12,95,4.3,3,Accesibilidad
18,18,Menores de 25,"['Nature', 'Cultural']",6,TRUE,Machu Picchu,"['Eiffel Tower', 'Colosseum']",6,18000,2.7,3.63,100,4.4,3,Accesibilidad
19,24,Menores de 25,['History'],5,FALSE,Taj Mahal,"['Colosseum', 'Eiffel Tower', 'Taj Mahal']",6,19000,2.6,2.63,86,4.7,3,Sin Accesibilidad
20,63,60+,"['Nature', 'Architecture']",8,FALSE,Colosseum,['Great Wall of China'],2,20000,2.7,4.79,92,4.8,3,Sin Accesibilidad
21,45,45-59,['Architecture'],6,TRUE,Machu Picchu,['Taj Mahal'],2,21000,2.8,2.75,94,4.7,3,Accesibilidad
22,62,60+,"['Nature', 'History', 'Cultural']",7,TRUE,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",5,22000,3.3,2.65,96,4,3,Accesibilidad
23,65,60+,"['Nature', 'Cultural']",8,TRUE,Great Wall of China,['Colosseum'],3,23000,4.2,1.97,88,5,4,Accesibilidad
24,53,45-59,['Cultural'],6,TRUE,Taj Mahal,"['Machu Picchu', 'Great Wall of China']",6,24000,3,4.02,97,4.4,3,Accesibilidad
25,26,25-34,['Cultural'],8,TRUE,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",3,25000,2.4,3.42,90,4.7,3,Accesibilidad
26,63,60+,"['Nature', 'Art']",3,FALSE,Colosseum,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",6,26000,1,4.09,93,4.3,3,Sin Accesibilidad
27,24,Menores de 25,"['Nature', 'Art', 'Cultural']",3,TRUE,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",4,27000,2,4.62,87,4.5,3,Accesibilidad
28,20,Menores de 25,['History'],5,FALSE,Eiffel Tower,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",4,28000,2.2,1.61,95,4.5,3,Sin Accesibilidad
29,36,35-44,['Nature'],7,TRUE,Great Wall of China,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",8,29000,4.1,4.57,91,4.6,4,Accesibilidad
30,49,45-59,"['Nature', 'History', 'Architecture']",6,TRUE,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",2,30000,4.4,2.18,95,4.9,4,Accesibilidad
31,61,60+,"['Art', 'Nature']",7,FALSE,Taj Mahal,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",4,31000,4.8,4.94,95,4.7,5,Sin Accesibilidad
32,54,45-59,['Art'],6,FALSE,Great Wall of China,['Taj Mahal'],2,32000,1.9,2.18,94,4.3,3,Sin Accesibilidad
33,29,25-34,"['Nature', 'Architecture']",8,TRUE,Eiffel Tower,"['Eiffel Tower', 'Taj Mahal']",4,33000,1.4,2.36,87,4.1,3,Accesibilidad
34,44,35-44,"['Art', 'Cultural']",5,TRUE,Colosseum,['Taj Mahal'],1,34000,4.9,4.43,88,4.2,5,Accesibilidad
35,35,35-44,"['History', 'Nature']",3,TRUE,Colosseum,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",7,35000,3.2,4.77,94,4.7,3,Accesibilidad
36,60,60+,['Cultural'],7,FALSE,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower']",4,36000,4.5,1.73,96,4.5,5,Sin Accesibilidad
37,33,25-34,['Nature'],6,TRUE,Colosseum,"['Taj Mahal', 'Colosseum', 'Machu Picchu']",4,37000,1.7,2.05,85,4.2,3,Accesibilidad
38,63,60+,"['Nature', 'Architecture']",4,FALSE,Great Wall of China,['Eiffel Tower'],2,38000,4.5,3.6,97,4.6,5,Sin Accesibilidad
39,47,45-59,['Cultural'],3,TRUE,Great Wall of China,"['Machu Picchu', 'Eiffel Tower']",3,39000,1.8,3.1,96,4.2,3,Accesibilidad
40,23,Menores de 25,['Architecture'],7,FALSE,Taj Mahal,"['Machu Picchu', 'Colosseum', 'Great Wall of China']",8,40000,2.6,3.72,89,4.8,3,Sin Accesibilidad
41,68,60+,"['Architecture', 'Nature']",4,FALSE,Eiffel Tower,['Machu Picchu'],2,41000,3.6,3.28,98,4.8,4,Sin Accesibilidad
42,39,35-44,"['Cultural', 'Nature', 'Art']",5,TRUE,Machu Picchu,"['Taj Mahal', 'Eiffel Tower', 'Great Wall of China']",6,42000,3.4,2.8,96,4.3,3,Accesibilidad
43,56,45-59,"['Art', 'Architecture']",5,FALSE,Eiffel Tower,['Great Wall of China'],3,43000,2.6,4.56,87,4.6,3,Sin Accesibilidad
44,29,25-34,"['Cultural', 'Art']",7,FALSE,Great Wall of China,"['Great Wall of China', 'Machu Picchu']",5,44000,3.5,3.65,91,4.1,4,Sin Accesibilidad
45,54,45-59,['History'],4,TRUE,Colosseum,"['Taj Mahal', 'Eiffel Tower']",5,45000,2,3.54,87,4.7,3,Accesibilidad
46,67,60+,['Nature'],7,FALSE,Machu Picchu,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",6,46000,3.6,1.79,93,4.3,4,Sin Accesibilidad
47,31,25-34,['Architecture'],5,TRUE,Machu Picchu,"['Colosseum', 'Eiffel Tower', 'Taj Mahal']",6,47000,4.7,2.39,97,4.2,5,Accesibilidad
48,55,45-59,"['Art', 'Cultural', 'Architecture']",8,FALSE,Machu Picchu,"['Eiffel Tower', 'Great Wall of China']",3,48000,3,2.58,97,4.9,3,Sin Accesibilidad
49,49,45-59,"['History', 'Art', 'Nature']",6,FALSE,Eiffel Tower,['Colosseum'],2,49000,1.8,3.09,100,4,3,Sin Accesibilidad
50,43,35-44,"['Art', 'Cultural']",6,TRUE,Eiffel Tower,['Taj Mahal'],1,50000,2.4,2.57,99,4.4,3,Accesibilidad
51,41,35-44,"['History', 'Art', 'Cultural']",7,TRUE,Great Wall of China,"['Machu Picchu', 'Eiffel Tower']",5,51000,4.2,1.72,92,4.4,4,Accesibilidad
52,30,25-34,"['Nature', 'History', 'Architecture']",4,FALSE,Eiffel Tower,"['Eiffel Tower', 'Machu Picchu']",2,52000,3.1,1.92,93,4.3,3,Sin Accesibilidad
53,48,45-59,"['Architecture', 'Art', 'History']",4,FALSE,Colosseum,"['Taj Mahal', 'Colosseum', 'Machu Picchu']",3,53000,3,2.05,89,4.2,3,Sin Accesibilidad
54,41,35-44,"['Nature', 'Art']",8,TRUE,Machu Picchu,"['Great Wall of China', 'Eiffel Tower']",4,54000,2.6,4.42,87,4.3,3,Accesibilidad
55,22,Menores de 25,['Nature'],8,TRUE,Machu Picchu,"['Great Wall of China', 'Taj Mahal']",5,55000,4.3,3.93,94,4.8,4,Accesibilidad
56,18,Menores de 25,['Architecture'],5,FALSE,Taj Mahal,"['Eiffel Tower', 'Great Wall of China']",4,56000,4.6,3.88,95,4.4,5,Sin Accesibilidad
57,35,35-44,"['Art', 'Architecture', 'Nature']",6,FALSE,Taj Mahal,['Colosseum'],3,57000,2.2,2.94,91,4.7,3,Sin Accesibilidad
58,69,60+,"['Cultural', 'Art']",6,FALSE,Taj Mahal,['Great Wall of China'],2,58000,1.7,4.08,93,4.3,3,Sin Accesibilidad
59,70,60+,['History'],6,TRUE,Machu Picchu,['Colosseum'],1,59000,2.9,3.05,94,4.4,3,Accesibilidad
60,25,25-34,['History'],8,FALSE,Machu Picchu,['Great Wall of China'],3,60000,3.9,4.01,91,4.8,4,Sin Accesibilidad
61,35,35-44,"['History', 'Cultural']",7,TRUE,Eiffel Tower,['Taj Mahal'],1,61000,4.3,4.12,86,4.1,4,Accesibilidad
62,28,25-34,"['Cultural', 'History', 'Art']",7,FALSE,Taj Mahal,"['Eiffel Tower', 'Colosseum']",4,62000,1.5,4.86,96,4.7,3,Sin Accesibilidad
63,35,35-44,"['Cultural', 'Architecture', 'History']",3,FALSE,Machu Picchu,['Great Wall of China'],2,63000,3,4.1,91,4.8,3,Sin Accesibilidad
64,29,25-34,"['Architecture', 'Nature', 'History']",7,FALSE,Colosseum,"['Colosseum', 'Great Wall of China']",4,64000,3.8,4.23,95,4.2,4,Sin Accesibilidad
65,54,45-59,"['Art', 'Architecture']",7,FALSE,Great Wall of China,"['Machu Picchu', 'Great Wall of China']",4,65000,4.3,4.25,91,4.3,4,Sin Accesibilidad
66,55,45-59,"['History', 'Nature', 'Architecture']",8,FALSE,Great Wall of China,['Eiffel Tower'],2,66000,2.8,2.65,98,4.7,3,Sin Accesibilidad
67,47,45-59,"['Architecture', 'Nature', 'History']",8,FALSE,Great Wall of China,['Eiffel Tower'],2,67000,1.7,2.83,88,4,3,Sin Accesibilidad
68,37,35-44,"['Nature', 'Cultural']",5,TRUE,Eiffel Tower,"['Colosseum', 'Taj Mahal']",3,68000,4.4,3.6,92,4.1,4,Accesibilidad
69,32,25-34,"['Cultural', 'Art']",7,FALSE,Taj Mahal,"['Great Wall of China', 'Colosseum', 'Eiffel Tower']",7,69000,2.2,3.71,95,4.1,3,Sin Accesibilidad
70,33,25-34,"['Nature', 'Cultural']",8,FALSE,Taj Mahal,['Taj Mahal'],1,70000,1.9,3.95,98,4.8,3,Sin Accesibilidad
71,35,35-44,['Architecture'],7,FALSE,Great Wall of China,['Colosseum'],3,71000,2,1.92,96,4.4,3,Sin Accesibilidad
72,28,25-34,"['Architecture', 'Art', 'Nature']",3,TRUE,Great Wall of China,"['Great Wall of China', 'Colosseum']",6,72000,1.4,2.13,88,4.9,3,Accesibilidad
73,19,Menores de 25,['History'],4,TRUE,Colosseum,['Great Wall of China'],2,73000,2.1,3.5,88,4.4,3,Accesibilidad
74,26,25-34,"['Architecture', 'Art']",4,TRUE,Eiffel Tower,"['Colosseum', 'Taj Mahal', 'Great Wall of China']",5,74000,5,3.16,90,4.9,5,Accesibilidad
75,55,45-59,"['Art', 'Nature', 'Cultural']",4,TRUE,Great Wall of China,"['Eiffel Tower', 'Taj Mahal']",3,75000,4.4,3.64,89,5,4,Accesibilidad
76,48,45-59,"['Nature', 'History']",3,TRUE,Colosseum,['Eiffel Tower'],3,76000,2.7,3.02,89,4.6,3,Accesibilidad
77,43,35-44,"['Nature', 'Art']",8,FALSE,Eiffel Tower,['Colosseum'],1,77000,4.1,3.02,97,4.1,4,Sin Accesibilidad
78,28,25-34,"['Cultural', 'Art', 'History']",8,FALSE,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",4,78000,4.8,3.88,96,4.8,5,Sin Accesibilidad
79,46,45-59,"['Art', 'Nature']",5,TRUE,Great Wall of China,['Taj Mahal'],1,79000,2.5,4.84,100,4.2,3,Accesibilidad
80,42,35-44,"['Architecture', 'Nature']",8,FALSE,Colosseum,['Eiffel Tower'],1,80000,2.1,1.5,97,4.1,3,Sin Accesibilidad
81,18,Menores de 25,"['Architecture', 'History']",4,FALSE,Eiffel Tower,['Machu Picchu'],1,81000,3.1,3.18,90,4.1,3,Sin Accesibilidad
82,25,25-34,"['Nature', 'Cultural', 'History']",3,TRUE,Eiffel Tower,['Great Wall of China'],2,82000,4,4.87,100,4.5,4,Accesibilidad
83,58,45-59,"['Nature', 'Cultural', 'Art']",4,FALSE,Great Wall of China,"['Machu Picchu', 'Eiffel Tower', 'Colosseum']",6,83000,2.2,4.75,91,4.3,3,Sin Accesibilidad
84,52,45-59,"['Art', 'History']",7,FALSE,Colosseum,"['Great Wall of China', 'Taj Mahal']",2,84000,2.5,2.67,90,4.3,3,Sin Accesibilidad
85,56,45-59,"['Cultural', 'History']",7,TRUE,Taj Mahal,['Taj Mahal'],2,85000,3,4.79,85,4.2,3,Accesibilidad
86,51,45-59,['Art'],5,TRUE,Taj Mahal,"['Great Wall of China', 'Taj Mahal']",4,86000,4.2,3.02,92,4.3,4,Accesibilidad
87,20,Menores de 25,"['Cultural', 'Nature']",3,FALSE,Machu Picchu,['Machu Picchu'],3,87000,4.1,2.72,94,4.1,4,Sin Accesibilidad
88,27,25-34,"['Architecture', 'Art', 'History']",8,TRUE,Eiffel Tower,"['Taj Mahal', 'Eiffel Tower', 'Colosseum']",5,88000,2.4,4.22,90,4.5,3,Accesibilidad
89,57,45-59,"['Nature', 'History', 'Architecture']",7,FALSE,Taj Mahal,"['Great Wall of China', 'Eiffel Tower', 'Taj Mahal']",5,89000,2.9,3.78,96,4.6,3,Sin Accesibilidad
90,25,25-34,['History'],8,FALSE,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",3,90000,2.9,1.76,85,4.2,3,Sin Accesibilidad
91,61,60+,"['Art', 'Cultural']",7,FALSE,Great Wall of China,"['Great Wall of China', 'Colosseum', 'Eiffel Tower']",6,91000,4.8,1.63,88,4.3,5,Sin Accesibilidad
92,59,45-59,"['History', 'Art', 'Nature']",7,FALSE,Taj Mahal,['Colosseum'],2,92000,2.2,4.79,99,4.1,3,Sin Accesibilidad
93,59,45-59,['Art'],4,FALSE,Great Wall of China,"['Taj Mahal', 'Great Wall of China', 'Colosseum']",5,93000,4.4,2.4,90,5,4,Sin Accesibilidad
94,59,45-59,"['History', 'Art', 'Cultural']",3,FALSE,Eiffel Tower,"['Great Wall of China', 'Colosseum']",2,94000,1.3,4.09,92,4.1,3,Sin Accesibilidad
95,44,35-44,['History'],4,FALSE,Eiffel Tower,"['Machu Picchu', 'Colosseum']",5,95000,4.8,4.59,88,4.3,5,Sin Accesibilidad
96,41,35-44,['Cultural'],5,FALSE,Taj Mahal,"['Great Wall of China', 'Eiffel Tower']",3,96000,1.8,4.44,99,4.8,3,Sin Accesibilidad
97,44,35-44,"['History', 'Architecture', 'Cultural']",6,FALSE,Great Wall of China,"['Colosseum', 'Eiffel Tower']",5,97000,3.9,2.22,95,4.1,4,Sin Accesibilidad
98,45,45-59,['History'],7,FALSE,Colosseum,['Colosseum'],1,98000,4.4,3.74,96,4.9,4,Sin Accesibilidad
99,66,60+,"['History', 'Art', 'Architecture']",6,TRUE,Eiffel Tower,"['Colosseum', 'Taj Mahal', 'Eiffel Tower']",6,99000,1.4,1.7,89,4.7,3,Accesibilidad
100,22,Menores de 25,"['Cultural', 'Art', 'History']",6,TRUE,Machu Picchu,"['Colosseum', 'Machu Picchu']",6,100000,1.6,1.96,94,4.7,3,Accesibilidad
101,63,60+,['History'],5,FALSE,Taj Mahal,['Machu Picchu'],2,101000,2.1,4.62,87,4.4,3,Sin Accesibilidad
102,47,45-59,"['Architecture', 'Cultural']",4,FALSE,Colosseum,"['Colosseum', 'Great Wall of China', 'Eiffel Tower']",3,102000,1.3,1.97,96,4.4,3,Sin Accesibilidad
103,20,Menores de 25,"['Architecture', 'Nature']",6,TRUE,Great Wall of China,['Great Wall of China'],2,103000,3.9,2.77,85,4.1,4,Accesibilidad
104,42,35-44,"['Cultural', 'History', 'Nature']",4,FALSE,Taj Mahal,['Taj Mahal'],1,104000,2.1,4.5,87,4.5,3,Sin Accesibilidad
105,70,60+,"['History', 'Nature']",3,TRUE,Colosseum,"['Machu Picchu', 'Eiffel Tower']",4,105000,2.4,4.58,93,4.4,3,Accesibilidad
106,54,45-59,"['Nature', 'History', 'Cultural']",8,TRUE,Eiffel Tower,"['Colosseum', 'Taj Mahal']",3,106000,2.6,2.9,88,4.5,3,Accesibilidad
107,70,60+,"['History', 'Art']",8,FALSE,Eiffel Tower,"['Great Wall of China', 'Taj Mahal']",5,107000,4.2,2.6,92,4.5,4,Sin Accesibilidad
108,59,45-59,['Cultural'],7,TRUE,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",7,108000,3.9,2.95,91,4.3,4,Accesibilidad
109,66,60+,['Cultural'],6,FALSE,Taj Mahal,"['Great Wall of China', 'Machu Picchu', 'Eiffel Tower']",5,109000,4.8,1.68,94,4.9,5,Sin Accesibilidad
110,34,25-34,"['Architecture', 'Cultural']",7,TRUE,Taj Mahal,"['Great Wall of China', 'Eiffel Tower']",6,110000,1.8,3.84,92,4.8,3,Accesibilidad
111,69,60+,"['Art', 'Architecture', 'Nature']",6,FALSE,Taj Mahal,['Great Wall of China'],3,111000,4.3,4.84,96,5,4,Sin Accesibilidad
112,56,45-59,"['Architecture', 'History', 'Cultural']",7,TRUE,Machu Picchu,"['Great Wall of China', 'Machu Picchu']",5,112000,2.5,2.1,88,4.2,3,Accesibilidad
113,62,60+,"['Art', 'Architecture']",8,TRUE,Great Wall of China,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",4,113000,1.3,3.21,94,4.1,3,Accesibilidad
114,51,45-59,"['History', 'Cultural', 'Architecture']",3,FALSE,Colosseum,['Taj Mahal'],2,114000,4,2.54,87,4.8,4,Sin Accesibilidad
115,31,25-34,['Nature'],4,FALSE,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",7,115000,1.6,2.97,86,4.2,3,Sin Accesibilidad
116,59,45-59,"['Art', 'Nature']",3,TRUE,Colosseum,['Colosseum'],1,116000,1.3,4.03,86,4.1,3,Accesibilidad
117,48,45-59,"['Cultural', 'History']",8,TRUE,Taj Mahal,"['Eiffel Tower', 'Great Wall of China', 'Colosseum']",4,117000,1.8,3.48,86,4.4,3,Accesibilidad
118,39,35-44,"['Architecture', 'Cultural', 'History']",3,TRUE,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Taj Mahal']",5,118000,4.8,3.63,88,4.3,5,Accesibilidad
119,25,25-34,"['Cultural', 'History', 'Nature']",8,TRUE,Taj Mahal,['Colosseum'],2,119000,2.4,2.65,86,4.6,3,Accesibilidad
120,22,Menores de 25,"['Cultural', 'History']",4,TRUE,Colosseum,['Colosseum'],3,120000,1.5,3.68,99,4.1,3,Accesibilidad
121,32,25-34,"['History', 'Art', 'Nature']",6,TRUE,Eiffel Tower,"['Colosseum', 'Great Wall of China']",3,121000,3.6,2.22,86,4.9,4,Accesibilidad
122,52,45-59,"['Cultural', 'Architecture', 'Nature']",6,FALSE,Machu Picchu,"['Colosseum', 'Great Wall of China']",4,122000,4.7,2.55,88,4.9,5,Sin Accesibilidad
123,27,25-34,['History'],8,TRUE,Eiffel Tower,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",6,123000,1.4,3.8,88,4.3,3,Accesibilidad
124,67,60+,['Art'],8,TRUE,Eiffel Tower,['Taj Mahal'],3,124000,2.1,4.4,87,4.1,3,Accesibilidad
125,28,25-34,['Architecture'],3,FALSE,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Colosseum']",4,125000,2.6,4.44,94,4.6,3,Sin Accesibilidad
126,59,45-59,['Architecture'],3,TRUE,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",3,126000,1.1,4.48,98,4.4,3,Accesibilidad
127,25,25-34,"['Nature', 'Art', 'Cultural']",3,TRUE,Great Wall of China,"['Taj Mahal', 'Great Wall of China']",3,127000,1.2,4.56,97,4.4,3,Accesibilidad
128,51,45-59,['Art'],5,FALSE,Machu Picchu,"['Great Wall of China', 'Taj Mahal']",4,128000,4.2,3.87,92,4.4,4,Sin Accesibilidad
129,65,60+,['Nature'],5,FALSE,Machu Picchu,['Taj Mahal'],1,129000,3.6,4.04,85,4.3,4,Sin Accesibilidad
130,32,25-34,"['Architecture', 'History']",7,TRUE,Great Wall of China,"['Great Wall of China', 'Machu Picchu']",3,130000,2.5,4.68,99,4.4,3,Accesibilidad
131,24,Menores de 25,"['Cultural', 'Architecture', 'History']",6,FALSE,Eiffel Tower,"['Taj Mahal', 'Colosseum', 'Eiffel Tower']",7,131000,4.4,1.65,88,4.9,4,Sin Accesibilidad
132,40,35-44,"['Architecture', 'Cultural']",7,TRUE,Machu Picchu,"['Great Wall of China', 'Taj Mahal']",4,132000,3.7,4.22,90,4.5,4,Accesibilidad
133,52,45-59,"['Cultural', 'History']",8,TRUE,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",6,133000,3.5,2.06,85,4.9,4,Accesibilidad
134,38,35-44,"['Architecture', 'Cultural', 'History']",5,TRUE,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",7,134000,3.3,3.06,86,4.3,3,Accesibilidad
135,20,Menores de 25,['History'],6,TRUE,Eiffel Tower,"['Machu Picchu', 'Great Wall of China']",4,135000,3.9,2.89,92,4.5,4,Accesibilidad
136,19,Menores de 25,"['Architecture', 'Nature', 'Cultural']",6,FALSE,Taj Mahal,"['Great Wall of China', 'Taj Mahal', 'Colosseum']",8,136000,4.6,4.75,87,4.6,5,Sin Accesibilidad
137,21,Menores de 25,"['Nature', 'History']",3,TRUE,Machu Picchu,"['Machu Picchu', 'Taj Mahal', 'Colosseum']",8,137000,2,3.13,89,4.1,3,Accesibilidad
138,39,35-44,"['Cultural', 'Architecture', 'Nature']",5,TRUE,Great Wall of China,['Taj Mahal'],3,138000,4.3,4.45,91,4.2,4,Accesibilidad
139,22,Menores de 25,"['Cultural', 'History']",8,TRUE,Machu Picchu,['Eiffel Tower'],2,139000,2.3,2.24,89,4.2,3,Accesibilidad
140,36,35-44,['Art'],7,TRUE,Colosseum,['Taj Mahal'],3,140000,4.9,3.34,90,5,5,Accesibilidad
141,22,Menores de 25,['Nature'],7,TRUE,Machu Picchu,"['Great Wall of China', 'Eiffel Tower']",5,141000,4.9,1.88,85,5,5,Accesibilidad
142,35,35-44,['Art'],4,TRUE,Machu Picchu,['Machu Picchu'],2,142000,2.4,2.8,98,4.6,3,Accesibilidad
143,66,60+,"['Architecture', 'Art', 'Nature']",7,TRUE,Machu Picchu,['Colosseum'],3,143000,3.4,4.92,99,4.9,3,Accesibilidad
144,65,60+,"['History', 'Architecture']",4,FALSE,Machu Picchu,"['Colosseum', 'Machu Picchu']",3,144000,2.9,2.61,86,4.7,3,Sin Accesibilidad
145,69,60+,"['Cultural', 'Architecture', 'Nature']",6,TRUE,Eiffel Tower,['Eiffel Tower'],3,145000,2.2,1.83,85,4.7,3,Accesibilidad
146,28,25-34,['Art'],5,TRUE,Colosseum,['Machu Picchu'],3,146000,4.8,2.7,96,4.7,5,Accesibilidad
147,56,45-59,['Architecture'],8,TRUE,Colosseum,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",7,147000,4.6,1.71,100,4.3,5,Accesibilidad
148,31,25-34,['Architecture'],8,FALSE,Eiffel Tower,"['Taj Mahal', 'Colosseum']",4,148000,3.9,4.27,100,4.1,4,Sin Accesibilidad
149,65,60+,"['Art', 'History', 'Nature']",8,TRUE,Taj Mahal,"['Taj Mahal', 'Colosseum', 'Machu Picchu']",7,149000,4.1,4.91,87,4.1,4,Accesibilidad
150,18,Menores de 25,"['Architecture', 'Nature', 'History']",3,FALSE,Machu Picchu,['Great Wall of China'],3,150000,1.1,3.64,90,4.1,3,Sin Accesibilidad
151,30,25-34,['Nature'],8,TRUE,Machu Picchu,"['Taj Mahal', 'Colosseum']",6,151000,2.1,3.12,96,4.4,3,Accesibilidad
152,51,45-59,['Art'],3,TRUE,Eiffel Tower,['Machu Picchu'],2,152000,1.7,3.18,98,4.6,3,Accesibilidad
153,35,35-44,"['Nature', 'History', 'Cultural']",4,FALSE,Taj Mahal,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",7,153000,2.2,2.17,93,4.8,3,Sin Accesibilidad
154,42,35-44,['Cultural'],6,FALSE,Taj Mahal,['Taj Mahal'],2,154000,2.1,4.21,87,4.3,3,Sin Accesibilidad
155,18,Menores de 25,"['Cultural', 'Nature', 'History']",5,FALSE,Eiffel Tower,['Machu Picchu'],3,155000,3,4.15,91,5,3,Sin Accesibilidad
156,59,45-59,"['History', 'Architecture']",7,FALSE,Taj Mahal,['Great Wall of China'],1,156000,3.4,3.46,89,4.1,3,Sin Accesibilidad
157,39,35-44,"['Art', 'Nature', 'Architecture']",6,TRUE,Taj Mahal,['Eiffel Tower'],1,157000,1.7,4.63,93,4.5,3,Accesibilidad
158,70,60+,"['Nature', 'Cultural', 'Art']",6,FALSE,Colosseum,['Taj Mahal'],2,158000,2.6,2.02,92,4.9,3,Sin Accesibilidad
159,45,45-59,"['Art', 'Cultural', 'Nature']",4,TRUE,Eiffel Tower,"['Colosseum', 'Machu Picchu']",3,159000,1.4,3.62,87,4,3,Accesibilidad
160,66,60+,['Nature'],3,TRUE,Machu Picchu,['Eiffel Tower'],1,160000,2.7,3.14,90,4.9,3,Accesibilidad
161,53,45-59,"['History', 'Cultural']",8,FALSE,Taj Mahal,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",7,161000,1,3.42,96,4.6,3,Sin Accesibilidad
